H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4040.11,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4031.91,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4044.07,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4022.75,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4033.38,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4029.47,-39,10.1,0,-52.2
112,3952000,20051000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4042.53,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4037.59,-39,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4036.03,-38,10.1,0,-52.2
112,3952000,20076000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4032.39,-38,10.1,0,-52.2
112,3952000,20075000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4041.29,-38,10.1,0,-52.2
112,3952000,20051000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4034.48,-38,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4031.52,-38,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4031.11,-38,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4031.82,-38,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4034.7,-38,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4042.86,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4044.15,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4037.16,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4027.1,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4030.4,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4047.67,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4028.15,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10.5,23.5,4031.05,-37,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4035.13,-36,10.1,0,-52.2
112,3952000,20075000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4032.73,-36,10.1,0,-52.2
112,3952000,20052000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4032.43,-36,10.1,0,-52.2
112,3952000,20052000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4044.69,-36,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10.5,23.5,4037.09,-36,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4044.14,-36,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-79,-10,23.5,4029.12,-36,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4045.18,-35,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4031.79,-35,10.1,0,-52.2
112,3952000,20064000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,6003000,-92,-10,-80,-10,23.5,4045.19,-35,10.1,0,-52.2
