H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-80,-10.5,23.5,4143.17,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4143.61,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4143.1,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4142.33,0,-18,0,-52.2
112,3952000,102200000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4142.78,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4147.82,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4144.54,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4148.38,0,-18,0,-52.2
112,3952000,102080000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4153.71,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4149.31,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4145.68,0,-18,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4141.26,0,-18,0,-52.2
112,3952000,102087000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-81,-10.5,23.5,4145.76,0,-19,0,-52.2
112,3952000,102144000,100,0,0,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,100,4392000,100,48345000,-92,-10,-82,-10.5,23.5,4146.87,0,-19,0,-52.2
