H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
60,26614000,0,97.66082,0,2.339181,2.339181,97.64051,0,0,0,0,0,95.78947,4.210526,0,4.210526,0,0,0,0,95.99735,30435000,0,0,-100,-9.5,0,0,0,1101.98,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9,0,0,0,1104.77,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1102.71,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1104.28,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9,0,0,0,1102.51,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1103.62,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1105.32,0,10.1,-9,-52.2
60,27141000,0,99.44444,0,0.5555556,0.5555556,99.43944,0,0,0,0,0,99,1,0,1,0,0,0,0,98.99697,31386000,0,0,-100,-9,0,0,0,1108.16,0,10.1,-9,-52.2
60,27124000,0,99.4152,0,0.5847953,0.5847953,99.41013,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1103.69,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9,0,0,0,1103.33,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1101.38,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1101.75,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9,0,0,0,1102.3,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9.5,0,0,0,1103.39,0,10.1,-9,-52.2
60,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-100,-9,0,0,0,1104.05,0,10.1,-9,-52.2
