H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
-180.0,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2265.93,0,10.1,0,-52.2
-179.51871657754012,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2267.32,0,10.1,0,-52.2
-179.0374331550802,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2261.22,0,10.1,0,-52.2
-178.55614973262033,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2273.71,0,10.1,0,-52.2
-178.07486631016042,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2276.69,0,10.1,0,-52.2
-177.59358288770053,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2266.93,0,10.1,0,-52.2
-177.11229946524065,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2268.24,0,10.1,0,-52.2
-176.63101604278074,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2282.57,0,10.1,0,-52.2
-176.14973262032086,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2260.47,0,10.1,0,-52.2
-175.66844919786095,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2277.22,0,10.1,0,-52.2
-175.18716577540107,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2270.27,0,10.1,0,-52.2
-174.7058823529412,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2304.13,0,10.1,0,-52.2
-174.22459893048128,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2266.12,0,10.1,0,-52.2
-173.7433155080214,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2272.43,0,10.1,0,-52.2
-173.2620320855615,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2280.24,0,10.1,0,-52.2
-172.7807486631016,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2254.21,0,10.1,0,-52.2
-172.29946524064172,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2284.21,0,10.1,0,-52.2
-171.8181818181818,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2288.87,0,10.1,0,-52.2
-171.33689839572193,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2286.73,0,10.1,0,-52.2
-170.85561497326202,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2267.56,0,10.1,0,-52.2
-170.37433155080214,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2304.47,0,10.1,0,-52.2
-169.89304812834226,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2263.06,0,10.1,0,-52.2
-169.41176470588235,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2280.46,0,10.1,0,-52.2
-168.93048128342247,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2267.64,0,10.1,0,-52.2
-168.44919786096256,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2253.47,0,10.1,0,-52.2
-167.96791443850267,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2264.88,0,10.1,0,-52.2
-167.4866310160428,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2263.56,0,10.1,0,-52.2
-167.00534759358288,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2283.03,0,10.1,0,-52.2
-166.524064171123,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-91,-10.0,0,0,0,2265.27,0,10.1,0,-52.2
-166.0427807486631,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2264.68,0,10.1,0,-52.2
-165.5614973262032,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2282.0,0,10.1,0,-52.2
-165.08021390374333,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2273.61,0,10.1,0,-52.2
-164.59893048128342,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2275.92,0,10.1,0,-52.2
-164.11764705882354,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2288.19,0,10.1,0,-52.2
-163.63636363636363,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2267.95,0,10.1,0,-52.2
-163.15508021390374,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,2291.82,0,10.1,0,-52.2
-162.67379679144386,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1962.65,0,10.1,0,-52.2
-162.19251336898395,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1970.68,0,10.1,0,-52.2
-161.71122994652407,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1953.38,0,10.1,0,-52.2
-161.22994652406416,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1958.39,0,10.1,0,-52.2
-160.74866310160428,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1952.67,0,10.1,0,-52.2
-160.2673796791444,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1978.76,0,10.1,0,-52.2
-159.7860962566845,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1830.16,0,10.1,0,-52.2
-159.3048128342246,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1820.32,0,10.1,0,-52.2
-158.8235294117647,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1799.91,0,10.1,0,-52.2
-158.3422459893048,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1805.17,0,10.1,0,-52.2
-157.86096256684493,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1793.28,0,10.1,0,-52.2
-157.37967914438502,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1812.45,0,10.1,0,-52.2
-156.89839572192514,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1694.44,0,10.1,0,-52.2
-156.41711229946523,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-92,-10.0,0,0,0,1711.72,0,10.1,0,-52.2
-155.93582887700535,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1676.44,0,10.1,0,-52.2
-155.45454545454547,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1713.6,0,10.1,0,-52.2
-154.97326203208556,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1694.14,0,10.1,0,-52.2
-154.49197860962568,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1699.26,0,10.1,0,-52.2
-154.01069518716577,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1684.08,0,10.1,0,-52.2
-153.52941176470588,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1584.19,0,10.1,0,-52.2
-153.048128342246,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1542.63,0,10.1,0,-52.2
-152.5668449197861,3952000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,4392000,0,0,-93,-10.0,0,0,0,1555.16,0,10.1,0,-52.2
