H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
-180.0,26469000,0,97.07602,0.0,2.923977,2.923977,97.13857,0,0,0,0,0,94.0,6.0,0,6.0,0,0,0,0,93.9976,29801000,0,0,-89,-9.5,0,0,0,1338.62,0,10.1,0,-52.2
-179.51935914552737,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1404.43,0,10.1,0,-52.2
-179.03871829105475,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1298.57,0,10.1,0,-52.2
-178.5580774365821,27133000,0,99.4152,0.0,0.5847953,0.5847953,99.41013,0,0,0,0,0,99.5,0.5,0,0.5,0,0,0,0,99.49849,31545000,0,0,-89,-9.5,0,0,0,1285.28,0,10.1,0,-52.2
-178.07743658210947,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1922.78,0,10.1,0,-52.2
-177.59679572763685,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1909.82,0,10.1,0,-52.2
-177.11615487316422,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1908.38,0,10.1,0,-52.2
-176.6355140186916,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1893.55,0,10.1,0,-52.2
-176.15487316421897,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1927.06,0,10.1,0,-52.2
-175.67423230974632,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1921.94,0,10.1,0,-52.2
-175.1935914552737,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1913.77,0,10.1,0,-52.2
-174.71295060080107,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1954.42,0,10.1,0,-52.2
-174.23230974632844,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1920.23,0,10.1,0,-52.2
-173.75166889185581,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1938.86,0,10.1,0,-52.2
-173.2710280373832,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1907.39,0,10.1,0,-52.2
-172.79038718291054,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1955.34,0,10.1,0,-52.2
-172.3097463284379,27294000,0,100.0,0.0,0.0,0.0,100.0,0,0,0,0,0,100.0,0.0,0,0.0,0,0,0,0,100.0,31704000,0,0,-89,-9.5,0,0,0,1921.54,0,10.1,0,-52.2
