H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
-180.0,27294000,20075000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-76,-10.5,23.5,3783.51,0,10.1,0,-52.2
-179.49720670391062,27294000,20075000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-77,-10.5,23.5,3747.51,0,10.1,0,-52.2
-178.99441340782124,19491000,20064000,71.34503,0.0,28.65497,28.65497,71.4113,100.0,0.0,0.0,0.0,100.0,44.61538,55.38462,0,55.38462,100.0,0.0,0.0,0.0,44.61519,13791000,100.0,6003000,-91,-9.5,-77,-10.5,23.5,3694.15,0,10.1,0,-52.2
-178.49162011173183,19628000,20075000,71.92982,0.0,28.07018,28.07018,71.91324,100.0,0.0,0.0,0.0,100.0,51.77665,48.22335,0,48.22335,100.0,0.0,0.0,0.0,51.77725,16169000,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3710.08,0,10.1,0,-52.2
-177.98882681564245,13634000,20064000,49.7076,0.0,50.2924,50.2924,49.68125,100.0,0.0,0.0,0.0,100.0,1.04712,98.95288,0,98.95288,100.0,0.0,0.0,0.0,1.046999,317000,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3751.79,0,10.1,0,-52.2
-177.48603351955308,13584000,20064000,49.7076,0.0,50.2924,50.2924,49.76918,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3575.93,0,10.1,0,-52.2
-176.9832402234637,13894000,20064000,50.55556,0.0,49.44444,49.44444,50.56056,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3647.9,0,10.1,0,-52.2
-176.4804469273743,13388000,20064000,49.12281,0.0,50.87719,50.87719,49.05107,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3515.04,0,10.1,0,-52.2
-175.9776536312849,13411000,20052000,48.88889,0.0,51.11111,51.11111,48.91918,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3524.7,0,10.1,0,-52.2
-175.47486033519553,13634000,20064000,50.2924,0.0,49.7076,49.7076,50.22716,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3518.02,0,10.1,0,-52.2
-174.97206703910615,14239000,20064000,52.04678,0.5847953,47.36842,47.95322,52.16897,100.0,0.0,0.0,0.0,100.0,5.759162,94.24084,0,94.24084,99.67105,0.3289474,0.0,0.3289474,5.756845,1743000,99.66683,5983000,-91,-9.5,-78,-10.5,23.5,3470.79,0,10.1,0,-52.2
-174.46927374301677,13882000,20017000,50.87719,0.0,49.12281,49.12281,50.861,99.77852,0.2214839,0.0,0.2214839,99.77584,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3559.3,0,10.1,0,-52.2
-173.96648044692736,26662000,20064000,97.66082,0.0,2.339181,2.339181,97.68447,100.0,0.0,0.0,0.0,100.0,96.5,3.5,0,3.5,99.67105,0.3289474,0.0,0.3289474,96.49886,30594000,99.66683,5983000,-91,-9.5,-78,-10.5,23.5,3461.71,0,10.1,0,-52.2
-173.46368715083798,26811000,20008000,98.24561,0.0,1.754386,1.754386,98.23038,99.77827,0.2217295,0.0,0.2217295,99.78057,96.5,3.5,0,3.5,100.0,0.0,0.0,0.0,96.49886,30594000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3484.54,0,10.1,0,-52.2
-172.9608938547486,27294000,20064000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3587.54,0,10.1,0,-52.2
-172.45810055865923,27133000,20052000,99.4152,0.0,0.5847953,0.5847953,99.41013,100.0,0.0,0.0,0.0,100.0,99.0,1.0,0,1.0,100.0,0.0,0.0,0.0,98.99697,31386000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3703.59,0,10.1,0,-52.2
-171.95530726256982,27294000,20052000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3692.93,0,10.1,0,-52.2
-171.45251396648044,27294000,20064000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3704.71,0,10.1,0,-52.2
-170.94972067039106,27294000,20064000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3709.54,0,10.1,0,-52.2
-170.44692737430168,27294000,20052000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3712.74,0,10.1,0,-52.2
-169.9441340782123,27294000,20064000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3726.48,0,10.1,0,-52.2
-169.4413407821229,27294000,20075000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3717.88,0,10.1,0,-52.2
-168.9385474860335,27294000,20064000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3766.87,0,10.1,0,-52.2
-168.43575418994413,27294000,20052000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-78,-10.0,23.5,3723.18,0,10.1,0,-52.2
