H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
0,27141000,10264000,99.44444,0,0.5555556,0.5555556,99.43944,51.15789,13.47368,35.36842,48.84211,51.1563,99,1,0,1,0,0,100,100,98.99697,31386000,0,0,-92,-10,-66,-10,23.5,3084.58,0,10.1,0,-52.2
0.495867769,27294000,12494000,100,0,0,0,100,62.30599,13.85809,23.83592,37.69401,62.308,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-66,-10,23.5,3094.78,0,10.1,0,-52.2
0.991735537,27294000,10865000,100,0,0,0,100,54.15205,14.97076,30.87719,45.84795,54.15171,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-66,-10,23.5,3083.75,0,10.1,0,-52.2
1.487603306,27294000,10583000,100,0,0,0,100,52.54989,14.19069,33.25942,47.45011,52.54837,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-67,-10.5,23.5,3107.41,0,10.1,0,-52.2
1.983471074,27294000,11160000,100,0,0,0,100,55.59247,12.51384,31.89369,44.40753,55.59153,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-67,-10.5,23.5,3108.39,0,10.1,0,-52.2
2.479338843,27294000,11334000,100,0,0,0,100,56.25692,14.83942,28.90365,43.74308,56.25405,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-67,-10.5,23.5,3108.39,0,10.1,0,-52.2
2.975206612,27294000,11803000,100,0,0,0,100,59.02547,10.07752,30.89701,40.97453,59.02366,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-66,-10.5,23.5,3129,0,10.1,0,-52.2
3.47107438,27294000,12413000,100,0,0,0,100,63.56589,11.18494,25.24917,36.43411,63.56164,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-66,-10.5,23.5,3129,0,10.1,0,-52.2
3.966942149,27294000,13751000,100,0,0,0,100,68.73614,9.645233,21.61863,31.26386,68.73629,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-10,-66,-10.5,23.5,3145.23,0,10.1,0,-52.2
4.462809917,27294000,12872000,100,0,0,0,100,64.19069,8.536585,27.27273,35.80931,64.1931,100,0,0,0,0,0,100,100,100,31704000,0,0,-92,-9.5,-66,-10.5,23.5,3129.61,0,10.1,0,-52.2
