H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
-180.0,26179000,101905000,95.90643,4.093567,0.0,4.093567,95.91485,99.77852,0.2214839,0.0,0.2214839,99.77886,100.0,0.0,0,0.0,93.75,6.25,0,6.25,100.0,31704000,93.75116,45324000,-102,-10.0,-75,-10.5,23.5,3707.87,0,10.1,0,-52.2
-179.50413223140495,15855000,102144000,57.89474,0.5847953,41.52047,42.10526,57.97978,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0,0.0,0.0,0,100.0,48345000,-102,-10.0,-75,-10.5,23.5,3747.65,0,10.1,0,-52.2
-179.0082644628099,15787000,102144000,57.77778,0.5555556,41.66667,42.22222,57.84055,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0,0.0,0.0,0,100.0,48345000,-102,-10.0,-75,-10.5,23.5,3778.87,0,10.1,0,-52.2
-178.51239669421489,15170000,102200000,55.55556,1.111111,43.33333,44.44444,55.60196,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0,0.0,0.0,0,100.0,48345000,-102,-10.0,-75,-10.5,23.5,3738.18,0,10.1,0,-52.2
-178.01652892561984,15198000,89994000,55.55556,0.5555556,43.88889,44.44444,55.68257,88.10526,0.2105263,11.68421,11.89474,88.10503,0.0,100.0,0,100.0,65.46053,34.53947,0,34.53947,0.0,0,65.46075,31647000,-102,-10.0,-75,-10.5,23.5,3734.63,0,10.1,0,-52.2
-177.5206611570248,15331000,78998000,56.11111,1.666667,42.22222,43.88889,56.15886,77.47368,0.4210526,22.10526,22.52632,77.47298,0.0,100.0,0,100.0,0.0,100.0,0,100.0,0.0,0,0.0,0,-102,-10.0,-75,-10.5,23.5,3657.2,0,10.1,0,-52.2
-177.02479338842974,15345000,70843000,56.72515,0.5847953,42.69006,43.27485,56.80003,69.35673,0.4678363,30.17544,30.64327,69.35601,3.174603,96.8254,0,96.8254,0.0,100.0,0,100.0,3.174232,951000,0.0,0,-102,-10.0,-75,-10.5,23.5,3783.75,0,10.1,0,-52.2
-176.52892561983472,16182000,46629000,59.25926,1.851852,38.88889,40.74074,59.28776,45.67627,1.441242,52.88248,54.32373,45.67575,7.772021,92.22798,0,92.22798,0.0,100.0,0,100.0,7.769497,2377000,0.0,0,-102,-10.0,-75,-10.5,23.5,3734.57,0,10.1,0,-52.2
-176.03305785123968,15929000,47761000,58.33333,4.444444,37.22222,41.66667,58.36081,46.94737,0.6315789,52.42105,53.05263,46.94647,6.806283,93.19372,0,93.19372,0.0,100.0,0,100.0,6.803845,2060000,0.0,0,-102,-10.0,-75,-10.5,23.5,3609.29,0,10.1,0,-52.2
-175.53719008264463,26105000,47535000,95.90643,2.339181,1.754386,4.093567,95.87089,46.56319,4.545455,48.89135,53.43681,46.56323,97.0,3.0,0,3.0,0.0,100.0,0,100.0,96.99722,30752000,0.0,0,-102,-9.5,-77,-10.5,23.5,3711.28,0,10.1,0,-52.2
-175.04132231404958,25608000,54771000,93.82716,4.320988,1.851852,6.17284,93.82282,55.08772,1.403509,43.50877,44.91228,55.08694,97.0,3.0,0,3.0,0.0,100.0,0,100.0,96.99722,30752000,0.0,0,-102,-9.5,-78,-10.5,23.5,3739.5,0,10.1,0,-52.2
-174.54545454545453,26364000,72396000,96.49123,3.508772,0.0,3.508772,96.59266,71.31783,0.110742,28.57143,28.68217,71.318,100.0,0.0,0,0.0,0.0,100.0,0,100.0,100.0,31704000,0.0,0,-102,-9.5,-78,-10.5,23.5,3727.24,0,10.1,0,-52.2
-174.0495867768595,26835000,89864000,98.33333,1.666667,0.0,1.666667,98.31831,88.31579,0.9473684,10.73684,11.68421,88.31552,100.0,0.0,0,0.0,0.0,100.0,0,100.0,100.0,31704000,0.0,0,-102,-9.5,-78,-10.5,23.5,3729.55,0,10.1,0,-52.2
-173.55371900826447,25947000,95812000,94.73684,5.263158,0.0,5.263158,94.73511,93.45898,0.886918,5.654102,6.54102,93.45852,100.0,0.0,0,0.0,0.0,100.0,0,100.0,100.0,31704000,0.0,0,-102,-9.5,-78,-10.5,23.5,3739.63,0,10.1,0,-52.2
